year,target_source,variable,filing_status,age_group,agi_min,agi_max,tolerance,val_flag
2017,1_6,returns,1 2 3 4,1 2 3 4 5 6,-1.00E+99,1,0.001,0
2017,1_6,returns,1 2 3 4,1 2 3 4 5 6,1,10000,0.001,0
2017,1_6,returns,1 2 3 4,1 2 3 4 5 6,10000,20000,0.001,0
2017,1_6,returns,1 2 3 4,1 2 3 4 5 6,20000,30000,0.001,0
2017,1_6,returns,1 2 3 4,1 2 3 4 5 6,30000,40000,0.001,0
2017,1_6,returns,1 2 3 4,1 2 3 4 5 6,40000,50000,0.001,0
2017,1_6,returns,1 2 3 4,1 2 3 4 5 6,50000,75000,0.001,0
2017,1_6,returns,1 2 3 4,1 2 3 4 5 6,75000,100000,0.001,0
2017,1_6,returns,1 2 3 4,1 2 3 4 5 6,100000,200000,0.001,0
2017,1_6,returns,1 2 3 4,1 2 3 4 5 6,200000,500000,0.001,0
2017,1_6,returns,1 2 3 4,1 2 3 4 5 6,500000,1000000,0.001,0
2017,1_6,returns,1 2 3 4,1 2 3 4 5 6,1000000,1500000,0.001,0
2017,1_6,returns,1 2 3 4,1 2 3 4 5 6,1500000,2000000,0.001,0
2017,1_6,returns,1 2 3 4,1 2 3 4 5 6,2000000,5000000,0.001,0
2017,1_6,returns,1 2 3 4,1 2 3 4 5 6,5000000,10000000,0.001,0
2017,1_6,returns,1 2 3 4,1 2 3 4 5 6,10000000,1.00E+99,0.001,0
2017,1_6,returns,1,1 2 3 4 5 6,-1.00E+99,1.00E+99,0.01,0
2017,1_6,returns,1,1 2 3 4 5 6,-1.00E+99,1.00E+99,0.01,0
2017,1_6,returns,1,1 2 3 4 5 6,-1.00E+99,1.00E+99,0.01,0
2017,1_6,returns,1,1 2 3 4 5 6,-1.00E+99,1.00E+99,0.01,0
2017,1_6,returns,2,1 2 3 4 5 6,-1.00E+99,1.00E+99,0.01,0
2017,1_6,returns,2,1 2 3 4 5 6,-1.00E+99,1.00E+99,0.01,0
2017,1_6,returns,2,1 2 3 4 5 6,-1.00E+99,1.00E+99,0.01,0
2017,1_6,returns,2,1 2 3 4 5 6,-1.00E+99,1.00E+99,0.01,0
2017,1_6,returns,3,1 2 3 4 5 6,-1.00E+99,1.00E+99,0.01,0
2017,1_6,returns,3,1 2 3 4 5 6,-1.00E+99,1.00E+99,0.01,0
2017,1_6,returns,3,1 2 3 4 5 6,-1.00E+99,1.00E+99,0.01,0
2017,1_6,returns,3,1 2 3 4 5 6,-1.00E+99,1.00E+99,0.01,0
2017,1_6,returns,4,1 2 3 4 5 6,-1.00E+99,1.00E+99,0.01,0
2017,1_6,returns,4,1 2 3 4 5 6,-1.00E+99,1.00E+99,0.01,0
2017,1_6,returns,4,1 2 3 4 5 6,-1.00E+99,1.00E+99,0.01,0
2017,1_6,returns,4,1 2 3 4 5 6,-1.00E+99,1.00E+99,0.01,0
2017,1_6,returns,1 2 3 4,1,-1.00E+99,1.00E+99,0.02,0
2017,1_6,returns,1 2 3 4,2,-1.00E+99,1.00E+99,0.02,0
2017,1_6,returns,1 2 3 4,3,-1.00E+99,1.00E+99,0.02,0
2017,1_6,returns,1 2 3 4,4,-1.00E+99,1.00E+99,0.02,0
2017,1_6,returns,1 2 3 4,5,-1.00E+99,1.00E+99,0.02,0
2017,1_6,returns,1 2 3 4,6,-1.00E+99,1.00E+99,0.02,0
2017,2_3,has_dep,1 2 3 4,1 2 3 4 5 6,-1.00E+99,1.00E+99,0.05,0
2017,2_3,n_dep,1 2 3 4,1 2 3 4 5 6,-1.00E+99,1.00E+99,0.05,1
2017,1_4,wages,1 2 3 4,1 2 3 4 5 6,-1.00E+99,1,0.01,0
2017,1_4,wages,1 2 3 4,1 2 3 4 5 6,1,10000,0.01,0
2017,1_4,wages,1 2 3 4,1 2 3 4 5 6,10000,20000,0.01,0
2017,1_4,wages,1 2 3 4,1 2 3 4 5 6,20000,30000,0.01,0
2017,1_4,wages,1 2 3 4,1 2 3 4 5 6,30000,40000,0.01,0
2017,1_4,wages,1 2 3 4,1 2 3 4 5 6,40000,50000,0.01,0
2017,1_4,wages,1 2 3 4,1 2 3 4 5 6,50000,75000,0.01,0
2017,1_4,wages,1 2 3 4,1 2 3 4 5 6,75000,100000,0.01,0
2017,1_4,wages,1 2 3 4,1 2 3 4 5 6,100000,200000,0.01,0
2017,1_4,wages,1 2 3 4,1 2 3 4 5 6,200000,500000,0.01,0
2017,1_4,wages,1 2 3 4,1 2 3 4 5 6,500000,1000000,0.01,0
2017,1_4,wages,1 2 3 4,1 2 3 4 5 6,1000000,1500000,0.01,0
2017,1_4,wages,1 2 3 4,1 2 3 4 5 6,1500000,2000000,0.01,0
2017,1_4,wages,1 2 3 4,1 2 3 4 5 6,2000000,5000000,0.01,0
2017,1_4,wages,1 2 3 4,1 2 3 4 5 6,5000000,10000000,0.01,0
2017,1_4,wages,1 2 3 4,1 2 3 4 5 6,10000000,1.00E+99,0.01,0
2017,1_4,sole_prop.income,1 2 3 4,1 2 3 4 5 6,-1.00E+99,1.00E+99,0.05,0
2017,1_4,sole_prop.loss,1 2 3 4,1 2 3 4 5 6,-1.00E+99,1.00E+99,0.05,0
2017,2_1,salt_inc_sales,1 2 3 4,1 2 3 4 5 6,-1.00E+99,1.00E+99,0.05,0
2017,2_1,salt_prop,1 2 3 4,1 2 3 4 5 6,-1.00E+99,1.00E+99,0.05,0
2017,1_4_kg,kg_lt.income,1 2 3 4,1 2 3 4 5 6,-1.00E+99,1.00E+99,0.05,0
2017,1_4_kg,kg_lt.loss,1 2 3 4,1 2 3 4 5 6,-1.00E+99,1.00E+99,0.05,0
