United States life table functions and actuarial functions at 2.3 percent interest
based on the historical mortality probabilities used in the 2024 Trustees Report.
Females
,,,,,,,o,,,,,..,    ..    (12)
Year,x,q(x),l(x),d(x),L(x),T(x),e(x),D(x),M(x),A(x),N(x),a(x),12a(x)
1900,0,0.119694,100000,11969,92047,4895712,48.96,100000,41416,0.4142,2605699,26.0570,307.18
1900,1,0.036172,88031,3184,86438,4803665,54.57,86051,29716,0.3453,2505699,29.1186,343.92
1900,2,0.017817,84846,1512,84090,4717227,55.60,81074,26673,0.3290,2419648,29.8449,352.64
1900,3,0.012920,83335,1077,82796,4633136,55.60,77839,25261,0.3245,2338574,30.0436,355.02
1900,4,0.010306,82258,848,81834,4550340,55.32,75106,24278,0.3233,2260734,30.1005,355.71
1900,5,0.007609,81410,619,81100,4468506,54.89,72661,23522,0.3237,2185628,30.0799,355.46
1900,6,0.005501,80791,444,80568,4387405,54.31,70487,22981,0.3260,2112967,29.9768,354.22
1900,7,0.003987,80346,320,80186,4306837,53.60,68523,22602,0.3298,2042481,29.8072,352.19
1900,8,0.003058,80026,245,79904,4226651,52.82,66715,22335,0.3348,1973958,29.5878,349.55
1900,9,0.002649,79781,211,79676,4146747,51.98,65016,22136,0.3405,1907242,29.3350,346.52
1900,10,0.002642,79570,210,79465,4067072,51.11,63386,21967,0.3466,1842226,29.0637,343.26
1900,11,0.002868,79360,228,79246,3987607,50.25,61797,21804,0.3528,1778840,28.7852,339.92
1900,12,0.003138,79132,248,79008,3908361,49.39,60234,21630,0.3591,1717043,28.5060,336.57
1900,13,0.003322,78884,262,78753,3829353,48.54,58695,21446,0.3654,1656809,28.2272,333.23
1900,14,0.003462,78622,272,78486,3750600,47.70,57185,21255,0.3717,1598114,27.9463,329.86
1900,15,0.003704,78350,290,78204,3672115,46.87,55706,21061,0.3781,1540928,27.6618,326.44
1900,16,0.004106,78059,321,77899,3593910,46.04,54252,20860,0.3845,1485222,27.3764,323.02
1900,17,0.004564,77739,355,77561,3516011,45.23,52814,20642,0.3908,1430970,27.0943,319.63
1900,18,0.005063,77384,392,77188,3438450,44.43,51391,20406,0.3971,1378156,26.8169,316.30
1900,19,0.005582,76992,430,76777,3361262,43.66,49982,20152,0.4032,1326765,26.5451,313.04
1900,20,0.006149,76562,471,76327,3284485,42.90,48585,19879,0.4092,1276783,26.2793,309.85
1900,21,0.006700,76092,510,75837,3208158,42.16,47201,19587,0.4150,1228198,26.0208,306.75
1900,22,0.007124,75582,538,75313,3132321,41.44,45830,19278,0.4206,1180997,25.7689,303.73
1900,23,0.007368,75043,553,74767,3057008,40.74,44481,18959,0.4262,1135167,25.5204,300.74
1900,24,0.007478,74490,557,74212,2982241,40.04,43160,18639,0.4318,1090686,25.2705,297.75
1900,25,0.007541,73933,558,73655,2908029,39.33,41875,18323,0.4376,1047526,25.0158,294.69
1900,26,0.007627,73376,560,73096,2834375,38.63,40624,18014,0.4434,1005651,24.7549,291.56
1900,27,0.007737,72816,563,72535,2761279,37.92,39408,17712,0.4494,965027,24.4880,288.36
1900,28,0.007897,72253,571,71968,2688744,37.21,38224,17414,0.4556,925619,24.2156,285.09
1900,29,0.008091,71682,580,71392,2616777,36.51,37070,17118,0.4618,887395,23.9386,281.76
1900,30,0.008286,71102,589,70808,2545384,35.80,35943,16825,0.4681,850325,23.6576,278.39
1900,31,0.008458,70513,596,70215,2474577,35.09,34844,16534,0.4745,814382,23.3724,274.97
1900,32,0.008613,69917,602,69616,2404362,34.39,33772,16246,0.4810,779538,23.0822,271.49
1900,33,0.008746,69315,606,69011,2334746,33.68,32729,15962,0.4877,745766,22.7863,267.94
1900,34,0.008865,68708,609,68404,2265735,32.98,31713,15682,0.4945,713037,22.4841,264.31
1900,35,0.008992,68099,612,67793,2197331,32.27,30725,15407,0.5014,681324,22.1748,260.60
1900,36,0.009134,67487,616,67179,2129538,31.55,29764,15137,0.5086,650599,21.8583,256.80
1900,37,0.009277,66870,620,66560,2062359,30.84,28829,14871,0.5158,620835,21.5348,252.92
1900,38,0.009425,66250,624,65938,1995799,30.13,27920,14610,0.5233,592005,21.2038,248.95
1900,39,0.009584,65626,629,65311,1929861,29.41,27035,14353,0.5309,564086,20.8651,244.88
1900,40,0.009769,64997,635,64679,1864550,28.69,26174,14099,0.5387,537051,20.5187,240.72
1900,41,0.009990,64362,643,64040,1799871,27.96,25335,13849,0.5466,510877,20.1646,236.48
1900,42,0.010246,63719,653,63392,1735830,27.24,24518,13602,0.5548,485542,19.8032,232.14
1900,43,0.010545,63066,665,62733,1672438,26.52,23722,13356,0.5630,461023,19.4348,227.72
1900,44,0.010892,62401,680,62061,1609705,25.80,22944,13112,0.5715,437302,19.0598,223.22
1900,45,0.011281,61721,696,61373,1547644,25.07,22184,12868,0.5801,414358,18.6786,218.64
1900,46,0.011730,61025,716,60667,1486270,24.36,21440,12623,0.5888,392174,18.2916,214.00
1900,47,0.012266,60309,740,59939,1425603,23.64,20712,12377,0.5976,370734,17.8992,209.29
1900,48,0.012904,59569,769,59185,1365664,22.93,19998,12129,0.6065,350022,17.5026,204.53
1900,49,0.013634,58801,802,58400,1306479,22.22,19296,11877,0.6155,330024,17.1029,199.73
1900,50,0.014448,57999,838,57580,1248079,21.52,18605,11619,0.6245,310727,16.7009,194.91
1900,51,0.015324,57161,876,56723,1190499,20.83,17924,11357,0.6336,292122,16.2975,190.07
1900,52,0.016243,56285,914,55828,1133776,20.14,17253,11088,0.6427,274198,15.8929,185.21
1900,53,0.017192,55371,952,54895,1077948,19.47,16591,10814,0.6518,256945,15.4870,180.34
1900,54,0.018192,54419,990,53924,1023053,18.80,15939,10535,0.6610,240354,15.0794,175.45
1900,55,0.019298,53429,1031,52913,969129,18.14,15297,10252,0.6702,224415,14.6701,170.54
1900,56,0.020517,52398,1075,51860,916216,17.49,14665,9963,0.6794,209117,14.2597,165.62
1900,57,0.021808,51323,1119,50763,864356,16.84,14041,9669,0.6886,194452,13.8489,160.69
