ucc,ucc_description,pce_major,survey,notes
2120,Other non-health insurance,financial_insurance,I,PCE: net life insurance cost
5420,"Finance, late, and interest charges for credit cards",other_services,I,""
5520,"Finance, late, and interest charges for student loans",education,I,""
5620,"Finance, late, and interest charges for other loans",other_services,I,""
10119,Flour and prepared flour mixes (new UCC Q20231),food_off_premises,D,""
10210,"Cereal, breakfast, and granola bars",food_off_premises,D,""
10310,Rice,food_off_premises,D,""
10320,"Pasta, cornmeal, and other cereal products",food_off_premises,D,""
20219,Bread (new UCC Q20231),food_off_premises,D,""
20310,Biscuits and rolls,food_off_premises,D,""
20410,Cakes and cupcakes,food_off_premises,D,""
20510,Cookies,food_off_premises,D,""
20610,Crackers,food_off_premises,D,""
20620,Bread and cracker products,food_off_premises,D,""
20710,"Sweetrolls, coffee cakes, and doughnuts",food_off_premises,D,""
20810,Frozen and refrigerated bakery products,food_off_premises,D,""
20820,"Pies, tarts, and turnovers",food_off_premises,D,""
30110,Ground beef,food_off_premises,D,""
30219,Roasts (new UCC Q20231),food_off_premises,D,""
30519,Steak (new UCC Q20231),food_off_premises,D,""
30810,Other beef,food_off_premises,D,""
40119,"Bacon, breakfast sausage, and related products (new UCC Q20231)",food_off_premises,D,""
40210,Pork chops,food_off_premises,D,""
40319,Ham (new UCC Q20231),food_off_premises,D,""
40410,Other pork,food_off_premises,D,""
50110,Frankfurters,food_off_premises,D,""
50319,Lunchmeats (new UCC Q20231),food_off_premises,D,""
50419,"Lamb, organ meat, and game (new UCC Q20231)",food_off_premises,D,""
60119,Chicken (new UCC Q20231),food_off_premises,D,""
60310,Other poultry,food_off_premises,D,""
70119,Processed fish and seafood (new UCC Q20231),food_off_premises,D,""
70230,Fresh fish and shellfish,food_off_premises,D,""
80110,Eggs,food_off_premises,D,""
90110,"Fresh milk, all types",food_off_premises,D,""
100119,Butter and margarine (new UCC Q20231),food_off_premises,D,""
100210,Cheese,food_off_premises,D,""
100410,Ice cream and related products,food_off_premises,D,""
100519,Other dairy and related products (new UCC Q20231),food_off_premises,D,""
110110,Apples,food_off_premises,D,""
110210,Bananas,food_off_premises,D,""
110319,Citrus fruits (new UCC Q20231),food_off_premises,D,""
110410,Other fresh fruits,food_off_premises,D,""
120110,Potatoes,food_off_premises,D,""
120210,Lettuce,food_off_premises,D,""
120310,Tomatoes,food_off_premises,D,""
120410,Other fresh vegetables,food_off_premises,D,""
130119,Frozen noncarbonated juices and drinks (new UCC Q20231),food_off_premises,D,""
130129,Frozen fruits and vegetables (new UCC Q20231),food_off_premises,D,""
140219,Canned fruits and vegetables (new UCC Q20231),food_off_premises,D,""
140349,Dried fruits and vegetables (new UCC Q20231),food_off_premises,D,""
150110,Candy and chewing gum,food_off_premises,D,""
150219,Sugar and artificial sweeteners (new UCC Q20231),food_off_premises,D,""
150310,"Jams, preserves, and other sweets",food_off_premises,D,""
160211,Fats and oils,food_off_premises,D,""
160212,Salad dressings,food_off_premises,D,""
160320,Peanut butter,food_off_premises,D,""
170110,Cola,food_off_premises,D,""
170210,Other carbonated drinks,food_off_premises,D,""
170319,Coffee (new UCC Q20231),food_off_premises,D,""
170520,Tea,food_off_premises,D,""
170531,Other noncarbonated beverages and ice,food_off_premises,D,""
170539,Nonfrozen noncarbonated juices and drinks (new UCC Q20231),food_off_premises,D,""
180110,Canned and packaged soups,food_off_premises,D,""
180210,Frozen meals,food_off_premises,D,""
180220,Other frozen prepared foods,food_off_premises,D,""
180310,Potato chips and other snacks,food_off_premises,D,""
180320,Nuts,food_off_premises,D,""
180410,"Salt, spices, and other seasonings",food_off_premises,D,""
180420,"Olives, pickles, and relishes",food_off_premises,D,""
180510,Sauces and gravies,food_off_premises,D,""
180520,Baking needs and miscellaneous products,food_off_premises,D,""
180611,Prepared salads,food_off_premises,D,""
180612,Prepared desserts,food_off_premises,D,""
180620,Baby food,food_off_premises,D,""
180710,Miscellaneous prepared foods,food_off_premises,D,""
190400,Food and nonalcoholic beverages at fast food,food_accommodations,D,""
190500,Food and nonalcoholic beverages at full service restaurants,food_accommodations,D,""
190600,Food and nonalcoholic beverages at vending machines and mobile vendors,food_accommodations,D,""
190700,Food and nonalcoholic beverages at employer,food_accommodations,D,""
190901,Food or board at school (through Q20231),food_accommodations,I,""
190902,Catered affairs,food_accommodations,I,""
190903,Food on out of town trips,food_accommodations,I,""
190904,Food prepared by consumer unit on out of town trips,food_off_premises,I,""
190905,School meals and board (new UCC Q20232),food_accommodations,I,""
200119,"Beer, ale, and other malt beverage (new UCC Q20231)",food_off_premises,D,""
200219,Distilled spirits (new UCC Q20231),food_off_premises,D,""
200310,Wine,food_off_premises,D,""
200900,Alcoholic beverages purchased on trips,food_off_premises,I,""
210110,Rent,housing,I,""
210210,Lodging on out of town trips,food_accommodations,I,""
210310,Housing while attending school,food_accommodations,I,""
210901,Ground rent,housing,I,""
210902,Ground rent,food_accommodations,I,""
220121,Homeowners insurance,housing,I,""
220122,Homeowners insurance,food_accommodations,I,""
220211,Property taxes,housing,I,""
220212,Property taxes,food_accommodations,I,""
220311,Mortgage interest,housing,I,""
220312,Mortgage interest,food_accommodations,I,""
220313,"Interest paid, home equity loan",housing,I,""
220314,"Interest paid, home equity loan",food_accommodations,I,""
220901,Parking,housing,I,""
220902,Parking,food_accommodations,I,""
230112,Painting and papering,housing,I,""
230113,Plumbing and water heating,housing,I,""
230114,"Heat, a/c, and electrical work",housing,I,""
230115,Roofing and gutters,housing,I,""
230117,"Dishwashers (built-in), garbage disposals, and range hoods (renter)",furnishings,I,""
230118,"Dishwashers (built-in), garbage disposals, and range hoods (owned home)",furnishings,I,""
230141,Repair of built-in appliances,housing,I,""
230142,Repair of built-in appliances,housing,I,""
230150,Repair or maintenance services,housing,I,""
230151,Other repair and maintenance services,housing,I,""
230152,Repair and remodeling services,food_accommodations,I,""
230901,Property management,housing,I,""
230902,Property management,food_accommodations,I,""
240111,"Paint, wallpaper, and supplies",housing,I,""
240112,"Paints, wallpaper, and supplies",housing,I,""
240113,"Paints, wallpaper, and supplies",food_accommodations,I,""
240121,Tools and equipment for painting and wallpapering,housing,I,""
240122,Tools and equipment for painting and wallpapering,housing,I,""
240123,Tools and equipment for painting and wallpapering,food_accommodations,I,""
240211,"Materials for plastering, panels, roofing, and gutters, etc.",housing,I,""
240212,"Materials for plaster, panel, siding, windows, doors, screens, and awnings",housing,I,""
240213,Materials and equipment for roofs and gutters,housing,I,""
240214,"Materials for plastering, paneling, roofing, gutters, downspouts, siding, windows, doors, screens, and awnings",food_accommodations,I,""
240221,"Materials for patio, walk, fence, driveway, masonry, brick and stucco work",housing,I,""
240222,"Materials for patio, walk, fence, driveway, masonry, brick, and stucco work",housing,I,""
240223,"Material for patio, walk, fence, drive, masonry, brick, and stucco",food_accommodations,I,""
240311,Plumbing supplies and equipment,housing,I,""
240312,Plumbing supplies and equipment,housing,I,""
240313,Plumbing supplies and equipment,food_accommodations,I,""
240321,"Electrical supplies, heating, and cooling equipment",housing,I,""
240322,"Electrical supplies, heating, and cooling equipment",housing,I,""
240323,"Electrical supplies, heating, and cooling equipment",food_accommodations,I,""
